股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH603223,恒通股份,30.8,+1.12,+3.77%,-10.72%,4382534,134068407.76,1.55%,67.542,0.487%,8692992000
SH603071,物产环能,18.25,-1.07,-5.54%,-27.75%,7156869,133899451.86,7.13%,10.08,3.288%,10182668567
SH600998,九州通,12.85,-0.48,-3.6%,-12.7%,10243057,133774419.69,0.55%,7.212,3.891%,24079222317
SH603008,喜临门,26.32,-1.23,-4.46%,-32.56%,4990932,133669487.86,1.29%,18.249,1.064%,10196836154
SH603305,旭升股份,26.98,-1.5,-5.27%,-45.91%,4815909,133200531.59,1.08%,29.188,0.445%,12061098244
SH600119,长江投资,7.03,-0.73,-9.41%,-8.7%,18360196,133161250.31,5.97%,,,2567850701
SH600515,*ST基础,3.52,-0.17,-4.61%,-22.3%,36975666,132757068.33,0.4%,,,40217089799
SH603387,基蛋生物,17.27,-0.82,-4.53%,-13.91%,7577540,132737328.32,2.08%,17.418,1.492%,6283055726
SH601992,金隅集团,2.74,-0.13,-4.53%,-3.52%,47467431,132711284.52,0.57%,9.975,3.796%,29257092907
SH600339,中油工程,2.89,-0.12,-3.99%,-6.17%,45090411,132249667.23,0.81%,15.477,1.592%,16135296191
SH601212,白银有色,2.77,-0.09,-3.15%,-9.18%,47052114,132190737.48,0.64%,280.999,0.108%,20511225395
SH603777,来伊份,12.9,-0.62,-4.59%,-13.89%,10009088,132168328.6,2.97%,,,4344681145
SH600327,大东方,5.77,-0.33,-5.41%,-3.03%,22412150,132114932.62,2.53%,7.97,10.399%,5105177819
SH603200,上海洗霸,22.32,-0.39,-1.72%,-2.75%,5865112,131992433.74,4.68%,155.684,0.396%,2796618750
SH603833,欧派家居,120,-3.03,-2.46%,-18.64%,1087311,131514439.54,0.18%,26.816,0.992%,73098233760
SH600739,辽宁成大,14.41,-0.42,-2.83%,-26.18%,8999577,131475674.15,0.59%,10.412,1.527%,22043118449
SH603357,设计总院,9.83,-0.68,-6.47%,6.62%,12956323,131093438.39,2.85%,11.507,4.68%,4468154721
SH603969,银龙股份,4.44,-0.3,-6.33%,0.23%,28817531,131051624.46,3.43%,21.418,1.577%,3734040000
SH600577,精达股份,4.55,-0.2,-4.21%,-38.84%,28400579,130865796.37,1.42%,16.536,0.659%,9080677087
SH600604,市北高新,5.2,-0.24,-4.41%,-3.17%,24782988,130643413.1,1.76%,84.698,0.135%,9741184981
SH603067,振华股份,10.52,-0.97,-8.44%,-4.71%,12066432,130493223.51,2.42%,19.766,0.858%,5348538066
SH600633,浙数文化,6.63,-0.33,-4.74%,-24.74%,19194344,129974701,1.52%,15.227,1.241%,8391793367
